id,number,title,firstName,lastName,name,photoUrl,pmCandidateRank,partyId,partyCode,partyName,partyabbreviation,partyColor
20584c5e-7f00-40ee-91a2-30058e35fcd0,34,นาย,อิทธิกร,เล่นวารี,นายอิทธิกร เล่นวารี,,,339fa187-133c-4766-a6c2-36d1b32cda8f,23,พรรคปวงชนไทย,,#827717
36e08116-ed82-4e30-9b6e-57dc9a17b560,34,นาย,ศุภวิชญ์,จันทร์เสถียร,นายศุภวิชญ์ จันทร์เสถียร,,,a62aca08-91b7-4f3f-ba8f-cb9e884a3799,42,พรรคกล้าธรรม,,#5D4037
57ea3f4d-7ca9-47b8-810e-5786d9a235a4,34,นาย,ณัฐวุฒิ,วงศ์เนียม,นายณัฐวุฒิ วงศ์เนียม,,,cb1b6cf2-41fa-49b1-a060-01acf13edc81,48,พรรคไทยสร้างไทย,,#00ACC1
5aa3c124-c95c-44bf-8b05-7f902ded5596,34,นางสาว,นิรินธร,มีทรัพย์นิคม,นางสาวนิรินธร มีทรัพย์นิคม,,,965b4b93-c01e-4a2b-a987-577f2b99ebb4,49,พรรคไทยก้าวใหม่,,#1E88E5
712d3275-d49e-4be6-abf5-b58801869777,34,ศาสตราจารย์,กนก,วงษ์ตระหง่าน,ศาสตราจารย์กนก วงษ์ตระหง่าน,https://gbqmnnammihcoxshkdxd.supabase.co/storage/v1/object/public/partylist-photos/37/034.jpg,,013c219e-e197-416d-84ea-00ba9c35465e,37,พรรคภูมิใจไทย,,#3949AB
8203d5bc-3ee7-4775-afbd-d84c1128050c,34,พันตำรวจโท,คเน,เนตรกูล,พันตำรวจโทคเน เนตรกูล,,,bcdcd19b-d619-47dd-8535-fafb6bc6f4d8,12,พรรคเสรีรวมไทย,,#C62828
83a50b2f-ee62-45a0-8231-9ce8743720f8,34,นาย,คงธัช,เตชะวิเชียร,นายคงธัช เตชะวิเชียร,,,0c044088-618b-49af-a291-fb28ffe9e0f8,11,พรรคเศรษฐกิจ,,#FFA000
84e7bee5-9579-481a-b095-d19fd5793e47,34,นาย,อุดมเกียรติ อภินันทิกุล,ปานมี,นายอุดมเกียรติ อภินันทิกุล ปานมี,,,03347cbc-6089-474c-a3f6-484ae981c9a6,43,พรรคพลังประชารัฐ,,#1565C0
882daf09-25be-4693-9c5a-66e8ebe4658c,34,นาง,สมจิตต์,รถทอง,นางสมจิตต์ รถทอง,,,115da917-bf32-4e96-a2ae-b7818d0909ee,6,พรรครวมไทยสร้างชาติ,,#FF6D00
8f38cee1-e3c3-4864-b4c9-a8d098a2eba5,34,นาย,ณรงเดช,อุฬารกุล,นายณรงเดช อุฬารกุล,https://gbqmnnammihcoxshkdxd.supabase.co/storage/v1/object/public/partylist-photos/46/034.jpg,,1116011c-1ef3-4cca-a186-c1b9f7984ede,46,พรรคประชาชน,,#F57C00
a5bd8a9d-18b8-4ecb-b261-f596e632618e,34,นาง,จิราภรณ์,เลาหะกาญจนศิริ,นางจิราภรณ์ เลาหะกาญจนศิริ,,,7255d2d0-1f49-4fd8-adad-7acfea2d5126,56,พรรคเพื่อบ้านเมือง,,#1565C0
a8cb5969-5261-4518-b87f-5ddd722c7204,34,นาย,พิเชษฐ์,ดารากัย,นายพิเชษฐ์ ดารากัย,,,7f4755ca-ea3a-4023-869d-9cabba328db0,33,พรรคประชาชาติ,,#2E7D32
b15ecc1a-89bc-499d-b804-f6e0e256bf42,34,นางสาว,ภิญญดา ชัชจิรากุลเดช,อีลิค,นางสาวภิญญดา ชัชจิรากุลเดช อีลิค,,,3d55d7c9-f0bc-4803-b40e-090a7ea5d872,3,พรรคใหม่,,#FF5722
c78edacb-90b6-4bb6-8e0f-9a04a9641671,34,นาย,ศุภชัย,ศรีหล้า,นายศุภชัย ศรีหล้า,https://gbqmnnammihcoxshkdxd.supabase.co/storage/v1/object/public/partylist-photos/27/034.jpg,,d7155f6d-736d-42c0-8bc0-00ee6e1970dc,27,พรรคประชาธิปัตย์,,#0066B3
20576549-9b6c-43ed-8237-70a23ef24c8d,35,นางสาว,สุพรรษา,ศรีมา,นางสาวสุพรรษา ศรีมา,,,7255d2d0-1f49-4fd8-adad-7acfea2d5126,56,พรรคเพื่อบ้านเมือง,,#1565C0
